note	note_words	inbox	source_words	score	source_url
Research/2026-07-14 - AAPL - John Ternus CEO Succession - deep-dive.md	1058	_Inbox/processed/Apple's Next CEO John Ternus.md	1272	14.61	https://quartr.com/insights/business-philosophy/apples-next-ceo-john-ternus
Research/2026-07-14 - DE Shaw - Quiet Giant of Quant Finance - deep-dive.md	1401	_Inbox/processed/D. E. Shaw & Co Inside the Quiet Giant of Quant Finance.md	1962	16.72	https://quartr.com/insights/company-research/de-shaw-and-co-inside-the-quiet-giant-of-quant-finance
Research/2026-07-14 - EDA Market Primer Part 2 (Big-3 Dynamics) - deep-dive.md	5116	_Inbox/processed/EDA Market Primer - Market Dynamics, Cadence, Synopsys, Siemens, China EDA Rise.md	14354	14.99	https://substack.com/home/post/p-190630215
Research/2026-07-14 - MCO - Moody's Business Breakdown - deep-dive.md	1066	_Inbox/processed/Moody's Shaping Global Credit.md	1329	13.26	https://quartr.com/insights/company-research/moodys-shaping-global-credit
Research/2026-07-17 - Power 10x Musk Turbine Bet AI Bottleneck - deep-dive.md	167	_Inbox/processed/The Power Delivery Bottleneck in AI Data Centers.md	2609	2.15	https://damnang2.substack.com/p/the-power-delivery-bottleneck-in
Research/2026-07-22 - META Infrastructure Culture Reset - deep-dive.md	278	_Inbox/processed/Metas Infrastructure Team Needs A Culture Reset.md	4436	15.12	https://newsletter.semianalysis.com/p/metas-infrastructure-team-needs-a
Research/2026-07-23 - Vera Rubin NVL72 vs GB200 Inference TCO - deep-dive.md	291	_Inbox/processed/Vera Rubin NVL72 vs GB200 NVL72 Inference TCO and Architecture Analysis.md	4556	16.47	https://newsletter.semianalysis.com/p/vera-rubin-nvl72-vs-gb200-nvl72-inference
Research/2026-07-25 - AMD Advancing AI CUDA Moat Helios - deep-dive.md	364	_Inbox/processed/Can AMD break the CUDA Moat AMD Advancing AI 2026.md	13424	15.06	https://newsletter.semianalysis.com/p/can-amd-break-the-cuda-moat-amd-advancing
Research/2026-07-27 - FORM Advantest CPO HVM Testing Bottleneck - deep-dive.md	290	_Inbox/processed/The Power Delivery Bottleneck in AI Data Centers.md	2609	1.56	https://damnang2.substack.com/p/the-power-delivery-bottleneck-in
Research/2026-07-29 - LEGO Modular Datacenter Construction - deep-dive.md	466	_Inbox/processed/The Wild Wild West Of LEGO Datacenters.md	14044	13.17	https://newsletter.semianalysis.com/p/the-wild-wild-west-of-lego-datacenters
Research/2026-08-02 - AXTI LITE InP Substrate LTA Prepay Chain - deep-dive.md	277	_Inbox/processed/AXT and Lumentums Prepayment Deal The InP Substrate LTA Chain.md	3935	14.49	https://photoncap.net/p/axt-and-lumentums-prepayment-deal
Research/2026-08-03 - Kimi K3 Architecture Inference Performance - deep-dive.md	306	_Inbox/processed/Kimi K3 The Manos The Mythos The Legendos.md	5242	13.20	https://newsletter.semianalysis.com/p/kimi-k3-the-manos-the-mythos-the
Research/2026-08-04 - LITE COHR Optical Trade Phase Two Geopolitics - deep-dive.md	193	_Inbox/processed/The Trigger for Phase Two of the Optical Trade Was Geopolitics Not Technology.md	1236	14.97	https://damnang2.substack.com/p/the-trigger-for-phase-two-of-the
Research/2026-08-04 - MPWR Vicor MLCC Power Delivery Bottleneck - deep-dive.md	253	_Inbox/processed/The Power Delivery Bottleneck in AI Data Centers.md	2609	14.46	https://damnang2.substack.com/p/the-power-delivery-bottleneck-in
Research/2026-08-05 - AI Data Center Power Markets and Electricity Pricing - deep-dive.md	4405	_Inbox/processed/Power 2026 by Neel Somani - Electricity Pricing in the Age of AI.md	28188	2.17	https://power2026.ai/
Research/2026-08-05 - SerDes Part 1 Technology Before CPO - deep-dive.md	295	_Inbox/processed/SerDes Part 1 The Technology You Should Know Before CPO.md	3138	15.89	https://nuttycld.substack.com/p/public-serdes-part-1-the-technology
Research/2026-08-06 - AIP Arteris Chiplet NoC Interconnect Thesis - deep-dive.md	277	_Inbox/processed/Arteris AIP Chiplet Interconnect Thesis The Next ARM of the AI Era.md	2726	15.56	https://temple8capital.substack.com/p/arteris-aip-chiplet-interconnect-thesis
Research/2026-08-06 - ALAB Astera Labs Switch Company Scorpio X - deep-dive.md	221	_Inbox/processed/Astera Labs is a Switch Company in Connectivity Clothing.md	1053	15.10	https://www.viksnewsletter.com/p/post-astera-labs-is-a-switch-company
Research/2026-08-06 - Hyperscaler GPU Repricing Cycle Capex to L3 L4 - deep-dive.md	258	_Inbox/processed/The GPU Repricing Cycle and Q2 Hyperscaler Earnings.md	4348	16.13	https://photoncap.net/p/the-gpu-repricing-cycle-and-q2-hyperscaler
Research/2026-08-07 - Citrini Protection Matters Cybersecurity Winners - deep-dive.md	238	_Inbox/processed/Protection Matters.md	1283	14.26	https://www.citriniresearch.com/p/protection-matters
Research/2026-08-07 - GOOGL Gemini Decline GCP Financialization - deep-dive.md	489	_Inbox/processed/Gemini is Cooked but GCP is Cooking.md	2162	13.69	https://newsletter.semianalysis.com/p/gemini-is-cooked-but-gcp-is-cooking
Research/2026-08-07 - SpaceX 10GW 2027 Microsoft Offtake - deep-dive.md	344	_Inbox/processed/SpaceX 10GW in 2027 - Why Its Real.md	2622	14.53	https://newsletter.semianalysis.com/p/spacex-10gw-in-2027-why-its-real
