wave	note	inbox	note_words	source_words	floor	gap
1	Research/2026-07-29 - LEGO Modular Datacenter Construction - deep-dive.md	_Inbox/processed/The Wild Wild West Of LEGO Datacenters.md	466	14044	5055	4589
1	Research/2026-07-25 - AMD Advancing AI CUDA Moat Helios - deep-dive.md	_Inbox/processed/Can AMD break the CUDA Moat AMD Advancing AI 2026.md	364	13424	4832	4468
1	Research/2026-08-05 - AI Data Center Power Markets and Electricity Pricing - deep-dive.md	_Inbox/processed/Power 2026 by Neel Somani - Electricity Pricing in the Age of AI.md	4405	28188	7892	3487
1	Research/2026-08-11 - NVDA Superposition AI Factory Underwriting - deep-dive.md	_Inbox/processed/Nvidia Special Series Part 2 How Do You Underwrite an AI Factory.md	294	6746	2428	2134
1	Research/2026-08-11 - LITE PhotonCap Innolight FCC Ban Optics Chain - deep-dive.md	_Inbox/processed/Five Days After Innolights 6.8B FCC Ban Draft and AI Optical Module Supply Chain.md	278	4938	2271	1993
1	Research/2026-07-23 - Vera Rubin NVL72 vs GB200 Inference TCO - deep-dive.md	_Inbox/processed/Vera Rubin NVL72 vs GB200 NVL72 Inference TCO and Architecture Analysis.md	291	4556	2095	1804
1	Research/2026-07-22 - META Infrastructure Culture Reset - deep-dive.md	_Inbox/processed/Metas Infrastructure Team Needs A Culture Reset.md	278	4436	2040	1762
1	Research/2026-08-06 - Hyperscaler GPU Repricing Cycle Capex to L3 L4 - deep-dive.md	_Inbox/processed/The GPU Repricing Cycle and Q2 Hyperscaler Earnings.md	258	4348	2000	1742
1	Research/2026-08-12 - LITE PhotonCap FQ4 2026 First 1B Quarter - deep-dive.md	_Inbox/processed/Lumentum First 1B Quarter FQ4 2026 Earnings Analysis.md	391	4494	2067	1676
1	Research/2026-08-03 - Kimi K3 Architecture Inference Performance - deep-dive.md	_Inbox/processed/Kimi K3 The Manos The Mythos The Legendos.md	306	5242	1887	1581
2	Research/2026-08-02 - AXTI LITE InP Substrate LTA Prepay Chain - deep-dive.md	_Inbox/processed/AXT and Lumentums Prepayment Deal The InP Substrate LTA Chain.md	277	3935	1810	1533
